1.0.2.205,福建省,福州市,电信
1.180.191.34,内蒙古自治区,通辽市,电信
1.180.196.178,内蒙古自治区,包头市,电信
1.180.207.4,内蒙古自治区,包头市,电信
1.180.207.5,内蒙古自治区,包头市,电信
1.180.23.94,内蒙古自治区,呼和浩特市,电信
1.180.242.170,内蒙古自治区,通辽市,电信
1.180.245.86,内蒙古自治区,通辽市,电信
1.180.247.30,内蒙古自治区,通辽市,电信
1.180.248.38,内蒙古自治区,通辽市,电信
1.180.254.58,内蒙古自治区,通辽市,电信
1.180.255.10,内蒙古自治区,通辽市,电信
1.180.33.226,内蒙古自治区,包头市,电信
1.180.35.162,内蒙古自治区,包头市,电信
1.180.39.122,内蒙古自治区,包头市,电信
1.180.42.147,内蒙古自治区,包头市,电信
1.180.42.149,内蒙古自治区,包头市,电信
1.180.42.242,内蒙古自治区,包头市,电信
1.180.43.150,内蒙古自治区,包头市,电信
1.180.64.178,内蒙古自治区,鄂尔多斯市,电信
1.180.64.30,内蒙古自治区,鄂尔多斯市,电信
1.180.70.166,内蒙古自治区,鄂尔多斯市,电信
1.180.79.162,内蒙古自治区,鄂尔多斯市,电信
1.180.79.166,内蒙古自治区,鄂尔多斯市,电信
1.180.81.210,内蒙古自治区,鄂尔多斯市,电信
1.180.86.242,内蒙古自治区,鄂尔多斯市,电信
1.180.89.38,内蒙古自治区,鄂尔多斯市,电信
1.181.137.252,内蒙古自治区,呼和浩特市,电信
1.181.137.68,内蒙古自治区,呼和浩特市,电信
1.181.143.210,内蒙古自治区,呼和浩特市,电信
1.181.150.103,内蒙古自治区,呼和浩特市,电信
1.181.151.152,内蒙古自治区,呼和浩特市,电信
1.181.151.172,内蒙古自治区,呼和浩特市,电信
1.181.158.86,内蒙古自治区,呼和浩特市,电信
1.181.165.8,内蒙古自治区,赤峰市,电信
1.182.0.192,内蒙古自治区,呼和浩特市,电信
1.182.114.235,内蒙古自治区,赤峰市,电信
1.182.116.137,内蒙古自治区,赤峰市,电信
1.182.116.168,内蒙古自治区,赤峰市,电信
1.182.117.219,内蒙古自治区,赤峰市,电信
1.182.117.246,内蒙古自治区,赤峰市,电信
1.182.117.63,内蒙古自治区,赤峰市,电信
1.182.119.134,内蒙古自治区,赤峰市,电信
1.182.119.150,内蒙古自治区,赤峰市,电信
1.182.13.15,内蒙古自治区,呼和浩特市,电信
1.182.137.228,内蒙古自治区,鄂尔多斯市,电信
1.182.138.53,内蒙古自治区,鄂尔多斯市,电信
1.182.192.168,内蒙古自治区,锡林郭勒盟,电信
1.182.192.242,内蒙古自治区,锡林郭勒盟,电信
1.182.192.67,内蒙古自治区,锡林郭勒盟,电信
1.182.192.91,内蒙古自治区,锡林郭勒盟,电信
1.182.193.193,内蒙古自治区,锡林郭勒盟,电信
1.182.245.214,内蒙古自治区,锡林郭勒盟,电信
1.182.252.105,内蒙古自治区,兴安盟,电信
1.182.252.137,内蒙古自治区,兴安盟,电信
1.182.252.156,内蒙古自治区,兴安盟,电信
1.182.252.182,内蒙古自治区,兴安盟,电信
1.182.252.193,内蒙古自治区,兴安盟,电信
1.182.252.23,内蒙古自治区,兴安盟,电信
1.182.252.241,内蒙古自治区,兴安盟,电信
1.182.252.246,内蒙古自治区,兴安盟,电信
1.182.252.32,内蒙古自治区,兴安盟,电信
1.182.252.4,内蒙古自治区,兴安盟,电信
1.182.65.158,内蒙古自治区,巴彦淖尔市,电信
1.182.65.167,内蒙古自治区,巴彦淖尔市,电信
1.182.65.29,内蒙古自治区,巴彦淖尔市,电信
1.182.72.110,内蒙古自治区,巴彦淖尔市,电信
1.182.72.121,内蒙古自治区,巴彦淖尔市,电信
1.182.72.165,内蒙古自治区,巴彦淖尔市,电信
1.183.167.40,内蒙古自治区,锡林郭勒盟,电信
1.188.146.26,黑龙江省,绥化市,联通
1.188.160.122,黑龙江省,绥化市,联通
1.188.161.98,黑龙江省,绥化市,联通
1.188.162.21,黑龙江省,绥化市,联通
1.188.176.98,黑龙江省,绥化市,联通
1.188.196.252,黑龙江省,绥化市,联通
1.188.199.11,黑龙江省,绥化市,联通
1.188.21.89,黑龙江省,黑河市,联通
1.188.22.39,黑龙江省,黑河市,联通
1.188.235.126,黑龙江省,牡丹江市,联通
1.188.235.225,黑龙江省,牡丹江市,联通
1.188.39.143,黑龙江省,双鸭山市,联通
1.188.8.166,黑龙江省,黑河市,联通
1.189.101.192,黑龙江省,哈尔滨市,联通
1.189.101.29,黑龙江省,哈尔滨市,联通
1.189.11.76,黑龙江省,哈尔滨市,联通
1.189.118.218,黑龙江省,哈尔滨市,联通
1.189.131.115,黑龙江省,哈尔滨市,联通
1.189.134.241,黑龙江省,哈尔滨市,联通
1.189.138.198,黑龙江省,哈尔滨市,联通
1.189.142.142,黑龙江省,哈尔滨市,联通
1.189.144.211,黑龙江省,哈尔滨市,联通
1.189.144.54,黑龙江省,哈尔滨市,联通
1.190.11.152,黑龙江省,大庆市,联通
1.190.117.53,黑龙江省,绥化市,联通
1.190.19.209,黑龙江省,大庆市,联通
1.190.21.157,黑龙江省,大庆市,联通
1.190.32.36,黑龙江省,黑河市,联通
1.191.137.136,黑龙江省,绥化市,联通
1.191.139.41,黑龙江省,绥化市,联通
1.191.150.88,黑龙江省,佳木斯市,联通
1.192.1.10,河南省,郑州市,电信
1.192.1.76,河南省,郑州市,电信
1.192.101.59,河南省,郑州市,电信
1.192.102.220,河南省,郑州市,电信
1.192.102.246,河南省,郑州市,电信
1.192.123.217,河南省,郑州市,电信
1.192.123.218,河南省,郑州市,电信
1.192.128.19,河南省,郑州市,电信
1.192.133.85,河南省,郑州市,电信
1.192.141.199,河南省,郑州市,电信
1.193.133.189,河南省,信阳市,电信
1.193.134.185,河南省,信阳市,电信
1.193.135.91,河南省,信阳市,电信
1.193.136.213,河南省,周口市,电信
1.193.144.218,河南省,洛阳市,电信
1.193.144.38,河南省,洛阳市,电信
1.193.144.49,河南省,洛阳市,电信
1.193.144.8,河南省,洛阳市,电信
1.193.148.46,河南省,洛阳市,电信
1.193.160.38,河南省,洛阳市,电信
1.193.160.4,河南省,洛阳市,电信
1.193.162.2,河南省,洛阳市,电信
1.193.162.23,河南省,洛阳市,电信
1.193.162.42,河南省,洛阳市,电信
1.193.178.8,河南省,驻马店市,电信
1.193.179.219,河南省,驻马店市,电信
1.193.220.16,河南省,开封市,电信
1.193.221.105,河南省,开封市,电信
1.193.221.109,河南省,开封市,电信
1.193.221.69,河南省,开封市,电信
1.193.228.88,河南省,信阳市,电信
1.193.230.15,河南省,信阳市,电信
1.193.244.183,河南省,鹤壁市,电信
1.194.103.175,河南省,周口市,电信
1.194.112.182,河南省,驻马店市,电信
1.194.120.114,河南省,驻马店市,电信
1.194.151.196,河南省,开封市,电信
1.194.151.47,河南省,开封市,电信
1.194.176.119,河南省,开封市,电信
1.194.176.227,河南省,开封市,电信
1.194.176.81,河南省,开封市,电信
1.194.182.118,河南省,开封市,电信
1.194.215.164,河南省,安阳市,电信
1.194.226.43,河南省,安阳市,电信
1.194.236.110,河南省,安阳市,电信
1.194.48.128,河南省,平顶山市,电信
1.194.74.166,河南省,周口市,电信
1.194.74.174,河南省,周口市,电信
1.194.75.144,河南省,周口市,电信
1.195.101.132,河南省,焦作市,电信
1.195.111.142,河南省,焦作市,电信
1.195.111.208,河南省,焦作市,电信
1.195.12.48,河南省,新乡市,电信
1.195.152.134,河南省,濮阳市,电信
1.195.155.210,河南省,濮阳市,电信
1.195.164.129,河南省,濮阳市,电信
1.195.18.207,河南省,新乡市,电信
1.195.19.59,河南省,新乡市,电信
1.195.196.41,河南省,三门峡市,电信
1.195.217.254,河南省,三门峡市,电信
1.195.222.139,河南省,三门峡市,电信
1.195.230.172,河南省,三门峡市,电信
1.195.230.184,河南省,三门峡市,电信
1.195.230.70,河南省,三门峡市,电信
1.195.25.124,河南省,新乡市,电信
1.195.28.47,河南省,新乡市,电信
1.195.29.109,河南省,新乡市,电信
1.195.30.116,河南省,新乡市,电信
1.195.30.123,河南省,新乡市,电信
1.195.30.78,河南省,新乡市,电信
1.195.30.91,河南省,新乡市,电信
1.196.141.217,河南省,三门峡市,电信
1.196.157.83,河南省,南阳市,电信
1.196.193.134,河南省,信阳市,电信
1.196.193.203,河南省,信阳市,电信
1.196.203.32,河南省,信阳市,电信
1.196.203.73,河南省,信阳市,电信
1.196.223.43,河南省,信阳市,电信
1.196.23.7,河南省,许昌市,电信
1.196.65.64,河南省,商丘市,电信
1.196.77.195,河南省,商丘市,电信
1.196.83.27,河南省,商丘市,电信
1.196.84.207,河南省,商丘市,电信
1.196.86.126,河南省,商丘市,电信
1.197.108.164,河南省,驻马店市,电信
1.197.11.101,河南省,鹤壁市,电信
1.197.142.97,河南省,商丘市,电信
1.197.15.196,河南省,鹤壁市,电信
1.197.153.134,河南省,许昌市,电信
1.197.156.184,河南省,焦作市,电信
1.197.16.144,河南省,鹤壁市,电信
1.197.162.41,河南省,南阳市,电信
1.197.168.27,河南省,南阳市,电信
1.197.214.137,河南省,安阳市,电信
1.197.214.240,河南省,安阳市,电信
1.197.214.3,河南省,安阳市,电信
1.197.227.234,河南省,周口市,电信
1.197.33.165,河南省,安阳市,电信
1.197.38.246,河南省,安阳市,电信
1.197.53.162,河南省,漯河市,电信
1.197.54.101,河南省,漯河市,电信
1.197.77.153,河南省,周口市,电信
1.197.77.9,河南省,周口市,电信
1.197.78.50,河南省,周口市,电信
1.197.79.140,河南省,周口市,电信
1.198.108.111,河南省,焦作市,电信
1.198.110.14,河南省,焦作市,电信
1.198.110.236,河南省,焦作市,电信
1.198.111.41,河南省,焦作市,电信
1.198.167.1,河南省,商丘市,电信
1.198.50.138,河南省,商丘市,电信
1.198.50.4,河南省,商丘市,电信
1.199.133.2,河南省,驻马店市,电信
1.199.137.184,河南省,驻马店市,电信
1.199.153.186,河南省,驻马店市,电信
1.199.158.139,河南省,驻马店市,电信
1.199.159.125,河南省,驻马店市,电信
1.199.160.126,河南省,三门峡市,电信
1.199.161.250,河南省,三门峡市,电信
1.199.165.188,河南省,三门峡市,电信
1.199.196.11,河南省,商丘市,电信
1.199.203.115,河南省,焦作市,电信
1.2.49.154,广东省,广州市,电信
1.202.10.100,北京市,北京市,电信
1.202.10.147,北京市,北京市,电信
1.202.10.74,北京市,北京市,电信
1.202.100.53,北京市,北京市,电信
1.202.11.219,北京市,北京市,电信
1.202.11.22,北京市,北京市,电信
1.202.11.91,北京市,北京市,电信
1.202.117.47,北京市,北京市,电信
1.202.120.200,北京市,北京市,电信
1.202.120.216,北京市,北京市,电信
1.204.56.39,贵州省,贵阳市,电信
1.204.82.26,贵州省,贵阳市,电信
1.205.100.139,贵州省,遵义市,电信
1.205.101.131,贵州省,遵义市,电信
1.205.16.106,贵州省,遵义市,电信
1.205.16.183,贵州省,遵义市,电信
1.205.160.117,贵州省,遵义市,电信
1.205.160.184,贵州省,遵义市,电信
1.205.160.186,贵州省,遵义市,电信
1.205.160.218,贵州省,遵义市,电信
1.205.160.25,贵州省,遵义市,电信
1.205.160.29,贵州省,遵义市,电信
1.205.243.204,贵州省,毕节地区,电信
1.206.196.168,贵州省,六盘水市,电信
1.206.196.174,贵州省,六盘水市,电信
1.206.196.175,贵州省,六盘水市,电信
1.206.196.190,贵州省,六盘水市,电信
1.206.196.191,贵州省,六盘水市,电信
1.206.196.45,贵州省,六盘水市,电信
1.206.197.100,贵州省,六盘水市,电信
1.206.197.13,贵州省,六盘水市,电信
1.206.197.140,贵州省,六盘水市,电信
1.206.197.63,贵州省,六盘水市,电信
1.207.102.147,贵州省,毕节地区,电信
1.207.103.202,贵州省,毕节地区,电信
1.207.103.254,贵州省,毕节地区,电信
1.207.103.48,贵州省,毕节地区,电信
1.207.103.86,贵州省,毕节地区,电信
1.207.236.37,贵州省,铜仁地区,电信
1.207.236.83,贵州省,铜仁地区,电信
1.207.244.36,贵州省,铜仁地区,电信
1.207.245.164,贵州省,铜仁地区,电信
1.207.246.242,贵州省,铜仁地区,电信
1.207.248.167,贵州省,铜仁地区,电信
1.207.248.220,贵州省,铜仁地区,电信
1.207.50.122,贵州省,黔东南苗族侗族自治州,电信
1.207.50.140,贵州省,黔东南苗族侗族自治州,电信
1.207.50.154,贵州省,黔东南苗族侗族自治州,电信
1.207.50.193,贵州省,黔东南苗族侗族自治州,电信
1.207.50.54,贵州省,黔东南苗族侗族自治州,电信
1.207.60.28,贵州省,黔东南苗族侗族自治州,电信
1.207.60.77,贵州省,黔东南苗族侗族自治州,电信
1.207.63.28,贵州省,黔东南苗族侗族自治州,电信
1.24.126.222,内蒙古自治区,兴安盟,联通
1.24.134.211,内蒙古自治区,包头市,联通
1.24.134.86,内蒙古自治区,包头市,联通
1.24.173.240,内蒙古自治区,锡林郭勒盟,联通
1.24.176.17,内蒙古自治区,阿拉善盟,联通
1.24.176.48,内蒙古自治区,阿拉善盟,联通
1.24.183.189,内蒙古自治区,阿拉善盟,联通
1.24.186.57,内蒙古自治区,乌海市,联通
1.24.186.91,内蒙古自治区,乌海市,联通
1.24.218.243,内蒙古自治区,乌兰察布市,联通
1.24.236.28,内蒙古自治区,乌兰察布市,联通
1.24.32.135,内蒙古自治区,乌兰察布市,联通
1.24.47.78,内蒙古自治区,锡林郭勒盟,联通
1.24.53.159,内蒙古自治区,锡林郭勒盟,联通
1.25.113.164,内蒙古自治区,锡林郭勒盟,联通
1.25.136.211,内蒙古自治区,呼和浩特市,联通
1.25.137.180,内蒙古自治区,呼和浩特市,联通
1.25.152.139,内蒙古自治区,锡林郭勒盟,联通
1.25.153.100,内蒙古自治区,锡林郭勒盟,联通
1.25.170.23,内蒙古自治区,锡林郭勒盟,联通
1.25.174.237,内蒙古自治区,锡林郭勒盟,联通
1.25.177.164,内蒙古自治区,锡林郭勒盟,联通
1.25.179.56,内蒙古自治区,锡林郭勒盟,联通
1.25.20.244,内蒙古自治区,乌海市,联通
1.25.201.118,内蒙古自治区,包头市,联通
1.25.201.62,内蒙古自治区,包头市,联通
1.25.22.136,内蒙古自治区,乌海市,联通
1.25.22.178,内蒙古自治区,乌海市,联通
1.25.224.38,内蒙古自治区,包头市,联通
1.25.225.112,内蒙古自治区,包头市,联通
1.25.32.122,内蒙古自治区,乌兰察布市,联通
1.25.40.145,内蒙古自治区,乌兰察布市,联通
1.25.92.26,内蒙古自治区,乌兰察布市,联通
1.25.94.150,内蒙古自治区,乌兰察布市,联通
1.25.95.139,内蒙古自治区,乌兰察布市,联通
1.25.95.202,内蒙古自治区,乌兰察布市,联通
1.26.122.134,内蒙古自治区,赤峰市,联通
1.26.129.136,内蒙古自治区,赤峰市,联通
1.26.130.223,内蒙古自治区,赤峰市,联通
1.26.131.222,内蒙古自治区,赤峰市,联通
1.26.148.78,内蒙古自治区,兴安盟,联通
1.26.177.80,内蒙古自治区,兴安盟,联通
1.26.178.36,内蒙古自治区,兴安盟,联通
1.26.179.30,内蒙古自治区,兴安盟,联通
1.26.179.74,内蒙古自治区,兴安盟,联通
1.26.216.158,内蒙古自治区,呼伦贝尔市,联通
1.26.217.134,内蒙古自治区,呼伦贝尔市,联通
1.26.232.126,内蒙古自治区,通辽市,联通
1.26.255.238,内蒙古自治区,通辽市,联通
1.26.36.210,内蒙古自治区,通辽市,联通
1.26.4.178,内蒙古自治区,呼伦贝尔市,联通
1.26.4.75,内蒙古自治区,呼伦贝尔市,联通
1.26.40.54,内蒙古自治区,赤峰市,联通
1.26.48.42,内蒙古自治区,通辽市,联通
1.26.49.211,内蒙古自治区,通辽市,联通
1.26.50.164,内蒙古自治区,通辽市,联通
1.26.54.147,内蒙古自治区,通辽市,联通
1.26.55.34,内蒙古自治区,通辽市,联通
1.26.63.44,内蒙古自治区,通辽市,联通
1.26.64.82,内蒙古自治区,通辽市,联通
1.26.97.76,内蒙古自治区,赤峰市,联通
1.27.194.170,内蒙古自治区,赤峰市,联通
1.27.195.217,内蒙古自治区,赤峰市,联通
1.27.199.100,内蒙古自治区,赤峰市,联通
1.27.248.21,内蒙古自治区,兴安盟,联通
1.27.249.11,内蒙古自治区,兴安盟,联通
1.27.249.50,内蒙古自治区,兴安盟,联通
1.27.60.9,内蒙古自治区,赤峰市,联通
1.27.71.84,内蒙古自治区,呼伦贝尔市,联通
1.28.125.13,内蒙古自治区,鄂尔多斯市,联通
1.28.156.17,内蒙古自治区,乌兰察布市,联通
1.28.165.178,内蒙古自治区,乌海市,联通
1.28.187.159,内蒙古自治区,包头市,联通
1.28.188.52,内蒙古自治区,包头市,联通
1.28.2.219,内蒙古自治区,鄂尔多斯市,联通
1.28.205.207,内蒙古自治区,包头市,联通
1.28.206.118,内蒙古自治区,包头市,联通
1.28.3.83,内蒙古自治区,鄂尔多斯市,联通
1.28.80.2,内蒙古自治区,乌海市,联通
1.29.109.103,内蒙古自治区,鄂尔多斯市,联通
1.29.109.55,内蒙古自治区,鄂尔多斯市,联通
1.29.111.183,内蒙古自治区,鄂尔多斯市,联通
1.29.130.44,内蒙古自治区,呼伦贝尔市,联通
1.29.183.236,内蒙古自治区,鄂尔多斯市,联通
1.29.198.17,内蒙古自治区,兴安盟,联通
1.29.218.131,内蒙古自治区,呼伦贝尔市,联通
1.29.253.179,内蒙古自治区,呼伦贝尔市,联通
1.30.178.4,内蒙古自治区,呼和浩特市,联通
1.30.179.157,内蒙古自治区,呼和浩特市,联通
1.30.179.45,内蒙古自治区,呼和浩特市,联通
1.30.197.96,内蒙古自治区,鄂尔多斯市,联通
1.30.198.134,内蒙古自治区,鄂尔多斯市,联通
1.30.20.126,内蒙古自治区,乌海市,联通
1.30.218.234,内蒙古自治区,鄂尔多斯市,联通
1.30.239.153,内蒙古自治区,阿拉善盟,联通
1.30.243.37,内蒙古自治区,呼伦贝尔市,联通
1.30.35.61,内蒙古自治区,乌海市,联通
1.31.13.178,内蒙古自治区,巴彦淖尔市,联通
1.31.145.36,内蒙古自治区,呼伦贝尔市,联通
1.31.20.184,内蒙古自治区,巴彦淖尔市,联通
1.31.26.10,内蒙古自治区,巴彦淖尔市,联通
1.31.51.134,内蒙古自治区,阿拉善盟,联通
1.31.52.165,内蒙古自治区,呼和浩特市,联通
1.4.75.197,广东省,广州市,电信
1.48.140.215,贵州省,铜仁地区,电信
1.48.140.25,贵州省,铜仁地区,电信
1.48.141.149,贵州省,铜仁地区,电信
1.48.16.90,贵州省,安顺市,电信
1.48.160.179,贵州省,安顺市,电信
1.48.161.16,贵州省,安顺市,电信
1.48.161.25,贵州省,安顺市,电信
1.48.163.20,贵州省,安顺市,电信
1.48.164.103,贵州省,安顺市,电信
1.48.164.12,贵州省,安顺市,电信
1.48.164.145,贵州省,安顺市,电信
1.48.164.159,贵州省,安顺市,电信
1.48.164.168,贵州省,安顺市,电信
1.48.224.98,贵州省,毕节地区,电信
1.48.226.31,贵州省,毕节地区,电信
1.48.232.122,贵州省,毕节地区,电信
1.48.232.37,贵州省,毕节地区,电信
1.49.133.186,贵州省,贵阳市,电信
1.49.134.230,贵州省,贵阳市,电信
1.49.134.65,贵州省,贵阳市,电信
1.49.135.116,贵州省,贵阳市,电信
1.49.148.247,贵州省,贵阳市,电信
1.49.150.138,贵州省,贵阳市,电信
1.49.150.167,贵州省,贵阳市,电信
1.49.240.105,贵州省,贵阳市,电信
1.50.152.114,宁夏回族自治区,银川市,电信
1.50.152.115,宁夏回族自治区,银川市,电信
1.50.152.36,宁夏回族自治区,银川市,电信
1.50.152.74,宁夏回族自治区,银川市,电信
1.50.153.123,宁夏回族自治区,银川市,电信
1.50.153.236,宁夏回族自治区,银川市,电信
1.50.155.172,宁夏回族自治区,银川市,电信
1.50.155.204,宁夏回族自治区,银川市,电信
1.50.184.35,宁夏回族自治区,中卫市,电信
1.50.185.168,宁夏回族自治区,中卫市,电信
1.50.185.34,宁夏回族自治区,中卫市,电信
1.50.186.123,宁夏回族自治区,中卫市,电信
1.50.187.213,宁夏回族自治区,中卫市,电信
1.50.188.126,宁夏回族自治区,中卫市,电信
1.50.188.92,宁夏回族自治区,中卫市,电信
1.50.191.224,宁夏回族自治区,中卫市,电信
1.50.191.35,宁夏回族自治区,中卫市,电信
1.50.200.192,宁夏回族自治区,吴忠市,电信
1.50.203.35,宁夏回族自治区,吴忠市,电信
1.50.224.28,宁夏回族自治区,银川市,电信
1.50.58.37,宁夏回族自治区,银川市,电信
1.56.110.77,黑龙江省,鹤岗市,联通
1.56.16.125,黑龙江省,鹤岗市,联通
1.56.17.152,黑龙江省,鹤岗市,联通
1.56.21.107,黑龙江省,鹤岗市,联通
1.56.237.137,黑龙江省,牡丹江市,联通
1.56.24.183,黑龙江省,鹤岗市,联通
1.56.25.105,黑龙江省,鹤岗市,联通
1.56.30.4,黑龙江省,鹤岗市,联通
1.56.35.148,黑龙江省,鹤岗市,联通
1.56.44.147,黑龙江省,鹤岗市,联通
1.56.44.6,黑龙江省,鹤岗市,联通
1.57.182.63,黑龙江省,双鸭山市,联通
1.57.183.141,黑龙江省,双鸭山市,联通
1.57.183.49,黑龙江省,双鸭山市,联通
1.57.186.9,黑龙江省,双鸭山市,联通
1.57.249.144,黑龙江省,鸡西市,联通
1.57.79.124,黑龙江省,齐齐哈尔市,联通
1.59.175.206,黑龙江省,佳木斯市,联通
1.60.121.57,黑龙江省,七台河市,联通
1.60.122.73,黑龙江省,七台河市,联通
1.60.126.214,黑龙江省,七台河市,联通
1.60.182.46,黑龙江省,伊春市,联通
1.60.220.125,黑龙江省,齐齐哈尔市,联通
1.60.241.62,黑龙江省,齐齐哈尔市,联通
1.60.246.94,黑龙江省,齐齐哈尔市,联通
1.60.28.251,黑龙江省,黑河市,联通
1.60.29.80,黑龙江省,黑河市,联通
1.60.32.46,黑龙江省,黑河市,联通
1.60.55.103,黑龙江省,黑河市,联通
1.60.67.134,黑龙江省,七台河市,联通
1.60.73.128,黑龙江省,七台河市,联通
1.60.82.31,黑龙江省,七台河市,联通
1.61.192.74,黑龙江省,齐齐哈尔市,联通
1.63.15.50,黑龙江省,鸡西市,联通
1.63.57.22,黑龙江省,鸡西市,联通
1.68.224.171,山西省,运城市,电信
1.68.224.34,山西省,运城市,电信
1.68.224.35,山西省,运城市,电信
1.68.224.86,山西省,运城市,电信
1.68.225.10,山西省,运城市,电信
1.68.225.205,山西省,运城市,电信
1.68.226.165,山西省,运城市,电信
1.68.226.48,山西省,运城市,电信
1.68.226.53,山西省,运城市,电信
1.68.226.93,山西省,运城市,电信
1.68.24.224,山西省,太原市,电信
1.69.102.69,山西省,晋中市,电信
1.69.106.107,山西省,晋中市,电信
1.69.106.176,山西省,晋中市,电信
1.69.107.11,山西省,晋中市,电信
1.69.107.228,山西省,晋中市,电信
1.69.107.50,山西省,晋中市,电信
1.69.108.147,山西省,晋中市,电信
1.69.109.134,山西省,晋中市,电信
1.69.109.192,山西省,晋中市,电信
1.69.109.6,山西省,晋中市,电信
1.69.203.148,山西省,忻州市,电信
1.69.233.161,山西省,忻州市,电信
1.69.248.100,山西省,忻州市,电信
1.69.248.187,山西省,忻州市,电信
1.69.248.51,山西省,忻州市,电信
1.69.249.154,山西省,忻州市,电信
1.69.249.219,山西省,忻州市,电信
1.69.249.253,山西省,忻州市,电信
1.69.250.155,山西省,忻州市,电信
1.69.250.198,山西省,忻州市,电信
1.70.100.106,山西省,晋城市,电信
1.70.100.203,山西省,晋城市,电信
1.70.100.56,山西省,晋城市,电信
1.70.100.72,山西省,晋城市,电信
1.70.101.180,山西省,晋城市,电信
1.70.102.162,山西省,晋城市,电信
1.70.102.97,山西省,晋城市,电信
1.70.103.132,山西省,晋城市,电信
1.70.103.150,山西省,晋城市,电信
1.70.103.228,山西省,晋城市,电信
1.70.11.26,山西省,长治市,电信
1.70.11.87,山西省,长治市,电信
1.70.12.132,山西省,长治市,电信
1.70.13.122,山西省,长治市,电信
1.70.13.141,山西省,长治市,电信
1.70.13.184,山西省,长治市,电信
1.70.14.111,山西省,长治市,电信
1.70.15.226,山西省,长治市,电信
1.70.160.129,山西省,朔州市,电信
1.70.174.93,山西省,朔州市,电信
1.70.176.156,山西省,朔州市,电信
1.70.176.175,山西省,朔州市,电信
1.70.178.118,山西省,朔州市,电信
1.70.178.142,山西省,朔州市,电信
1.70.179.105,山西省,朔州市,电信
1.70.179.48,山西省,朔州市,电信
1.70.184.75,山西省,朔州市,电信
1.70.188.14,山西省,朔州市,电信
1.70.193.158,山西省,阳泉市,电信
1.70.194.189,山西省,阳泉市,电信
1.70.195.203,山西省,阳泉市,电信
1.70.197.58,山西省,阳泉市,电信
1.70.199.62,山西省,阳泉市,电信
1.70.201.103,山西省,阳泉市,电信
1.70.201.199,山西省,阳泉市,电信
1.70.202.176,山西省,阳泉市,电信
1.70.205.252,山西省,阳泉市,电信
1.70.207.20,山西省,阳泉市,电信
1.70.8.109,山西省,长治市,电信
1.70.8.229,山西省,长治市,电信
1.71.100.254,山西省,太原市,电信
1.71.101.152,山西省,太原市,电信
1.71.102.53,山西省,太原市,电信
1.71.103.184,山西省,太原市,电信
1.71.103.205,山西省,太原市,电信
1.71.106.42,山西省,太原市,电信
1.71.118.249,山西省,太原市,电信
1.71.128.128,山西省,吕梁市,电信
1.71.128.3,山西省,吕梁市,电信
1.71.136.101,山西省,吕梁市,电信
1.71.139.178,山西省,吕梁市,电信
1.71.140.8,山西省,吕梁市,电信
1.71.140.98,山西省,吕梁市,电信
1.71.142.197,山西省,吕梁市,电信
1.71.143.104,山西省,吕梁市,电信
1.71.151.13,山西省,吕梁市,电信
1.71.16.162,山西省,太原市,电信
1.71.16.230,山西省,太原市,电信
1.71.187.3,山西省,吕梁市,电信
1.80.12.41,陕西省,西安市,电信
1.80.16.25,陕西省,西安市,电信
1.80.16.36,陕西省,西安市,电信
1.80.16.91,陕西省,西安市,电信
